Episode,TotalReward,Epsilon
1,-1,1.0
2,-1,0.99981
3,-1,0.99962
4,-1,0.9994299999999999
5,-1,0.9992399999999999
6,-1,0.9990499999999999
7,-1,0.9988599999999999
8,-1,0.9986699999999998
9,-1,0.9984799999999998
10,-1,0.9982899999999998
11,-1,0.9980999999999998
12,-1,0.9979099999999997
13,-1,0.9977199999999997
14,-1,0.9975299999999997
15,-1,0.9973399999999997
16,-1,0.9971499999999996
17,-1,0.9969599999999996
18,-1,0.9967699999999996
19,0,0.9965799999999996
20,-1,0.9963899999999996
21,-1,0.9961999999999995
22,-1,0.9960099999999995
23,-1,0.9958199999999995
24,-1,0.9956299999999995
25,-1,0.9954399999999994
26,-1,0.9952499999999994
27,-1,0.9950599999999994
28,0,0.9948699999999994
29,0,0.9946799999999993
30,-1,0.9944899999999993
31,0,0.9942999999999993
32,-1,0.9941099999999993
33,0,0.9939199999999992
34,0,0.9937299999999992
35,-1,0.9935399999999992
36,-1,0.9933499999999992
37,-1,0.9931599999999992
38,-1,0.9929699999999991
39,-1,0.9927799999999991
40,1,0.9925899999999991
41,-1,0.9923999999999991
42,0,0.992209999999999
43,-1,0.992019999999999
44,-1,0.991829999999999
45,-1,0.991639999999999
46,-1,0.9914499999999989
47,-1,0.9912599999999989
48,-1,0.9910699999999989
49,-1,0.9908799999999989
50,-1,0.9906899999999988
51,-1,0.9904999999999988
52,-1,0.9903099999999988
53,-1,0.9901199999999988
54,-1,0.9899299999999988
55,-1,0.9897399999999987
56,-1,0.9895499999999987
57,0,0.9893599999999987
58,-1,0.9891699999999987
59,-1,0.9889799999999986
60,-1,0.9887899999999986
61,-1,0.9885999999999986
62,-1,0.9884099999999986
63,0,0.9882199999999985
64,-1,0.9880299999999985
65,-1,0.9878399999999985
66,-1,0.9876499999999985
67,-1,0.9874599999999985
68,0,0.9872699999999984
69,0,0.9870799999999984
70,-1,0.9868899999999984
71,-1,0.9866999999999984
72,-1,0.9865099999999983
73,-1,0.9863199999999983
74,-1,0.9861299999999983
75,-1,0.9859399999999983
76,-1,0.9857499999999982
77,-1,0.9855599999999982
78,-1,0.9853699999999982
79,-1,0.9851799999999982
80,0,0.9849899999999981
